ID,category,launched
1207749708,Software,2017-04-12 20:07:27
1208559973,3D Printing,2017-05-08 04:54:23
1209397882,Software,2013-07-13 17:42:20
1210317736,Software,2011-04-02 08:37:53
1210679070,3D Printing,2014-07-09 03:36:05
1212928848,Software,2015-08-24 14:39:40
1213374636,Software,2015-08-27 07:28:11
1213385224,Software,2013-05-18 17:29:46
1213580386,Software,2014-03-22 16:27:12
1213583587,Software,2017-09-30 16:00:13
1213846658,Software,2015-01-21 01:24:20
1214734883,Software,2013-08-12 22:10:37
1215471661,Software,2011-09-07 22:44:39
1217244564,Software,2017-07-20 14:08:41
1217485033,Software,2015-03-02 20:18:44
1217936689,3D Printing,2017-03-10 19:26:39
121810704,Software,2017-11-10 14:06:23
1218366344,Software,2017-03-12 07:50:52
1219323534,Software,2015-07-28 18:44:03
1219458977,Software,2014-08-05 02:59:10
1219882488,Robots,2015-05-12 14:51:11
1220398802,Software,2017-05-04 21:11:38
1220609201,Software,2015-01-15 01:22:59
1221102956,3D Printing,2015-05-13 04:03:46
1222027563,Software,2015-11-20 20:34:32
1222349619,Software,2016-08-06 13:13:49
1222506585,3D Printing,2016-08-30 19:04:32
1222889812,3D Printing,2014-09-10 15:04:21
1223228754,Software,2016-08-23 11:23:40
1223406865,Software,2016-06-17 03:53:01
122384386,Software,2011-09-22 05:13:30
1224566997,Robots,2016-08-16 02:20:01
1224725203,3D Printing,2015-07-22 18:43:40
1225073658,Software,2010-05-17 23:58:13
1225127348,3D Printing,2017-06-12 20:30:49
1225213200,Software,2010-01-20 22:57:26
122605684,Software,2013-02-05 17:07:48
1226337266,Software,2012-08-21 00:36:00
1226872453,Software,2014-10-03 09:41:52
1227286359,Robots,2017-01-17 17:00:06
1227893206,Robots,2017-07-13 19:59:30
1228001426,Software,2016-09-01 11:24:36
1228753125,Software,2015-09-29 15:38:05
1228775718,Software,2011-07-30 02:35:25
1229616475,Software,2016-10-11 14:46:14
1229786243,3D Printing,2015-04-16 19:36:39
1230092735,Software,2016-03-17 17:19:20
123026865,Software,2015-04-03 23:47:16
1230547649,Software,2015-09-22 20:06:16
1230718857,Robots,2014-12-05 22:24:01
1231220531,Software,2014-08-06 16:00:56
1231433086,Software,2014-11-25 15:25:18
1231563974,Software,2017-03-14 15:46:39
1231617591,Software,2014-05-17 00:50:10
1231677235,3D Printing,2016-11-04 05:34:50
1231984937,3D Printing,2015-10-22 08:52:18
1232097681,Software,2016-05-10 18:17:57
1232354081,Software,2015-11-13 01:46:21
1233398827,Software,2015-06-23 10:49:54
1233769224,Software,2015-02-23 16:34:40
1233788285,3D Printing,2015-06-01 18:15:58
1233809549,Software,2014-08-08 06:03:07
1234858390,Software,2016-01-11 17:12:09
1235363436,Robots,2014-09-16 22:28:33
123605662,Software,2014-08-03 15:53:23
1237672574,3D Printing,2015-06-29 23:20:11
1238170246,Software,2010-01-05 15:57:20
1238475920,Robots,2016-09-15 09:38:20
123849219,Software,2015-09-09 17:19:06
1238557175,Software,2017-09-25 19:31:51
1238925105,Software,2014-12-18 03:40:09
1239089754,Software,2011-10-01 00:57:43
1239314426,Software,2013-12-24 17:49:08
1239372474,Software,2015-06-16 18:33:41
1239927332,Software,2017-01-28 19:30:16
1240161829,Software,2011-02-16 07:42:06
1240975867,Software,2016-02-01 22:35:33
1241292485,Software,2016-03-22 15:15:54
1241576654,Software,2016-06-01 23:02:42
1242155874,Software,2017-02-14 20:54:19
1242212086,Software,2016-01-16 01:30:11
124246961,3D Printing,2016-01-05 09:37:01
124294414,Software,2016-03-29 07:40:52
1243152065,Robots,2015-04-15 18:23:02
12443515,Software,2015-06-30 11:38:14
1244477824,Software,2012-11-14 10:48:14
124500563,Software,2012-08-15 12:57:45
1245490917,Robots,2017-06-27 23:39:48
1245780645,Software,2014-09-09 20:28:07
1245864942,Software,2015-04-01 01:15:26
124617167,Software,2015-05-05 17:19:58
1246378513,Software,2015-07-09 09:06:05
1246712663,Software,2010-12-15 00:14:55
1247414621,3D Printing,2016-04-20 22:19:27
1248679316,Software,2016-01-25 23:45:22
124878231,Robots,2015-03-07 17:30:31
1249128014,Software,2015-12-24 14:37:30
124937195,Software,2011-10-31 12:49:51
12498573,Software,2013-05-09 04:26:13
1250508096,Software,2017-04-11 19:34:41
1251216690,Software,2016-06-10 15:08:56
1251255417,Robots,2017-02-07 13:01:48
1251695257,Software,2016-06-13 18:30:08
1251706252,Software,2015-01-06 00:41:59
1251792974,3D Printing,2014-02-25 16:55:28
1251804487,Robots,2015-08-04 22:29:33
125207247,Software,2017-03-20 19:53:10
1252377469,Software,2014-03-10 18:59:40
1252585896,Robots,2015-06-15 17:59:30
1253224072,3D Printing,2015-01-03 23:08:17
1253332592,Software,2017-03-25 07:40:05
1254857690,Software,2015-03-12 20:13:34
1254870238,Robots,2015-04-16 22:58:31
1255272646,3D Printing,2016-12-13 08:59:18
1255427044,Software,2014-11-25 21:01:29
1255624857,Software,2016-09-15 23:23:30
1256278894,Robots,2016-11-04 10:01:03
1256280992,Software,2014-07-07 21:44:31
1256302160,Software,2017-09-15 06:19:05
1256325840,3D Printing,2016-08-23 19:22:38
1256475974,Software,2014-03-13 20:23:42
1257781423,Software,2015-10-23 00:18:47
1258378081,Software,2016-09-07 17:51:05
1258467663,Software,2011-05-01 07:31:34
1259306763,Software,2016-08-13 20:23:30
1259419718,Software,2016-08-27 16:38:42
126036987,Software,2011-05-04 03:15:34
126161143,Software,2014-03-11 03:29:40
1261824770,3D Printing,2016-04-10 22:04:31
1261896773,3D Printing,2014-03-10 01:21:25
1261949344,3D Printing,2015-03-16 15:35:09
1262276534,3D Printing,2016-05-02 19:55:20
1264312507,Software,2010-06-04 23:24:06
1264634415,Software,2009-11-17 19:14:52
1264863076,3D Printing,2014-06-16 15:30:26
1265306878,3D Printing,2014-10-10 01:23:53
1265992004,3D Printing,2014-04-07 14:45:46
1266019797,3D Printing,2015-06-15 22:19:41
1266064506,Software,2015-06-16 16:57:55
1266472266,Software,2017-04-24 23:49:02
126764366,Software,2016-03-18 19:34:46
1269204577,Software,2010-05-15 21:12:42
1269601136,Software,2013-02-06 00:59:05
1269974770,Robots,2015-09-30 22:48:03
1270896226,3D Printing,2015-07-15 19:00:40
1271188208,3D Printing,2015-07-23 17:32:10
1271416004,Software,2015-02-28 07:26:20
1271643495,Robots,2015-06-08 16:59:55
127217631,3D Printing,2015-02-20 17:12:40
127219559,Software,2015-12-01 20:43:54
1272233188,Software,2015-12-11 18:05:12
1272618247,Robots,2013-05-01 06:03:11
1272743938,Robots,2017-09-21 17:05:08
1273321043,Software,2015-03-24 19:08:07
1273830951,Software,2014-08-10 08:46:56
1274792265,Software,2014-02-02 20:29:00
1275035110,Software,2016-07-31 06:11:57
1275157304,Software,2016-06-16 23:55:53
1275596004,3D Printing,2015-03-22 05:04:10
1275656939,Software,2017-09-04 03:38:01
127593285,Robots,2017-01-09 19:37:49
1276497017,Software,2015-07-06 19:41:04
1276594998,Software,2015-06-04 21:24:02
1277086485,Software,2013-03-30 02:09:55
1277284075,Software,2014-09-19 17:51:49
1277824902,Robots,2016-06-03 13:32:03
1278843126,Software,2015-03-13 23:41:03
